"STATION","NAME","DATE","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-04","0.00",,"0.0","4.0",,"40","11",,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-05","0.00",,"0.0","1.0",,"43","29",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-06","0.00",,"0.0","1.0",,"33","18",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-07","0.06",,"0.0","0.0",,"50","26",,,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-08","0.04",,"0.1","0.0",,"45","12",,,,,,,,,"    1","    1",,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-09","0.01",,"0.1","0.0",,"21","12",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-10","0.06",,"1.0","0.0",,"31","13",,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-11","0.25",,"4.5","2.0",,"37","25",,"    1",,,,,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-12","0.02",,"0.2","3.0",,"25","7",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-13","0.00",,"0.0","2.0",,"27","16",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-14","0.00",,"0.0","2.0",,"32","15",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-15","0.00",,"0.0","1.0",,"33","19",,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-16","0.00",,"0.0","1.0",,"28","19",,,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-17","0.18",,"1.2","1.0",,"35","18",,"    1",,,,,,,"    1","    1",,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-18","0.00",,"0.0","1.0",,"25","15",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-19","0.00",,"0.0","0.0",,"33","10",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-20","0.00",,"0.0","0.0",,"40","27",,,,,"    1",,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-21","0.00",,"0.0","0.0",,"41","31",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-22","0.30",,"0.0","0.0",,"40","34",,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-23","0.02",,"0.2","0.0",,"42","33",,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-24","0.18",,"0.5","0.0",,"41","32",,"    1",,,"    1",,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-25","0.02",,"0.0","0.0",,"46","31",,"    1",,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-26","0.18",,"0.0","0.0",,"40","35",,"    1",,,,,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-27","0.76",,"0.0","0.0",,"60","39",,"    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-28","0.04",,"0.2","0.0",,"44","25",,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-29","0.02",,"0.2","0.0",,"34","21",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-30","0.00",,"0.0","0.0",,"38","21",,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-03-31","0.17",,"0.0","0.0",,"47","30",,,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-01","0.39",,"0.0","0.0",,"42","32",,,,,,,,,,"    1",,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-02","0.23",,"0.0","0.0",,"46","28",,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-03","0.48",,"0.0","0.0",,"59","42",,"    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-04","0.66",,"0.0","0.0",,"42","34",,"    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-05","0.02",,"0.2","0.0",,"34","23",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-06","0.00",,"0.0","0.0",,"36","20",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-07","0.00",,"0.0","0.0",,"48","27",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-08","0.02",,"0.0","0.0",,"43","20",,"    1",,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-09","0.00",,"0.0","0.0",,"40","21",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-10","0.36",,"0.0","0.0",,"53","32",,"    1",,,,,"    1",,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-11","0.13",,"0.0","0.0",,"54","34",,"    1",,,,,,,"    1",,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-12","0.04",,"0.4","0.0",,"34","19",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-13","0.01",,"0.1","0.0",,"24","17",,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-14","0.00",,"0.0","0.0",,"36","22",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-15","0.00",,"0.0","0.0",,"51","24",,,,,,,,,,,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-16","0.00",,"0.0","0.0",,"61","28",,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-17","0.03",,"0.0","0.0",,"66","48",,,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-18","0.00",,"0.0","0.0",,"67","48",,,,,,,,,"    1",,,,,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-19","0.06",,"0.0","0.0",,"57","38",,,,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-20","0.00",,"0.0","0.0",,"45","34",,,,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-21","0.00",,"0.0","0.0",,"48","29",,,,,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-22","0.01",,"0.0","0.0",,"62","27",,,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-23","0.06",,"0.0","0.0",,"62","42",,,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-24","1.08",,"0.0","0.0",,"48","38",,"    1",,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-25","0.78",,"0.0","0.0",,"55","39",,"    1",,,,,,,,,,,,,,"    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-26","0.00",,"0.0","0.0",,"44","35",,,,,,,,,,,,,,,,,,"    1",,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","1950-04-27","0.17",,"2.2","0.0",,"40","31",,"    1",,,,,,,,,,,,,,,,"    1",,,,
