treatment,replicate,step,creature_x,creature_y,score
play_greedily,3,64,2,7,1345
play_greedily,3,65,1,7,1335
play_greedily,3,66,0,7,1325
play_greedily,3,67,0,7,1320
play_greedily,3,68,0,7,1315
play_greedily,3,69,1,7,1305
play_greedily,3,70,2,7,1295
play_greedily,3,71,3,7,1285
play_greedily,3,72,4,7,1275
play_greedily,3,73,5,7,1265
play_greedily,3,74,6,7,1255
play_greedily,3,75,7,7,1245
play_greedily,3,76,8,7,1235
play_greedily,3,77,8,7,1230
play_greedily,3,78,8,6,1220
play_greedily,3,79,8,5,1210
play_greedily,3,80,8,5,1205
play_greedily,3,81,8,5,1200
play_greedily,3,82,8,6,1190
play_greedily,3,83,8,7,1180
play_greedily,3,84,8,7,1175
play_greedily,3,85,7,7,1165
play_greedily,3,86,6,7,1155
play_greedily,3,87,5,7,1145
play_greedily,3,88,4,7,1135
play_greedily,3,89,3,7,1125
play_greedily,3,90,2,7,1115
play_greedily,3,91,1,7,1105
play_greedily,3,92,0,7,1095
play_greedily,3,93,0,7,1090
play_greedily,3,94,0,7,1085
play_greedily,3,95,1,7,1075
play_greedily,3,96,2,7,1065
play_greedily,3,97,3,7,1055
play_greedily,3,98,4,7,1045
play_greedily,3,99,5,7,1035
play_greedily,3,100,6,7,1025
play_greedily,4,0,4,4,1000
play_greedily,4,1,4,4,995
play_greedily,4,2,4,4,990
play_greedily,4,3,4,5,1080
play_greedily,4,4,4,5,1075
play_greedily,4,5,5,5,1115
play_greedily,4,6,6,5,1205
play_greedily,4,7,6,5,1200
play_greedily,4,8,6,6,1290
play_greedily,4,9,6,6,1285
play_greedily,4,10,5,6,1325
play_greedily,4,11,5,6,1320
play_greedily,4,12,5,7,1360
play_greedily,4,13,5,8,1400
play_greedily,4,14,5,8,1395
play_greedily,4,15,5,8,1390
play_greedily,4,16,5,7,1380
play_greedily,4,17,5,6,1370
play_greedily,4,18,5,5,1360
play_greedily,4,19,5,5,1355
play_greedily,4,20,6,5,1345
play_greedily,4,21,7,5,1335
play_greedily,4,22,8,5,1375
play_greedily,4,23,8,5,1370
play_greedily,4,24,8,4,1360
play_greedily,4,25,8,4,1355
play_greedily,4,26,7,4,1395
play_greedily,4,27,6,4,1385
play_greedily,4,28,6,4,1380
play_greedily,4,29,6,3,1370
play_greedily,4,30,6,2,1410
play_greedily,4,31,6,2,1405
play_greedily,4,32,6,2,1400
play_greedily,4,33,6,3,1390
play_greedily,4,34,6,4,1380
play_greedily,4,35,6,5,1370
play_greedily,4,36,6,6,1360
play_greedily,4,37,6,7,1350
play_greedily,4,38,6,8,1340
play_greedily,4,39,6,8,1335
play_greedily,4,40,5,8,1325
play_greedily,4,41,5,8,1320
play_greedily,4,42,5,7,1310
play_greedily,4,43,5,6,1300
play_greedily,4,44,5,5,1290
play_greedily,4,45,5,5,1285
play_greedily,4,46,6,5,1275
play_greedily,4,47,7,5,1265
play_greedily,4,48,8,5,1255
play_greedily,4,49,8,5,1250
play_greedily,4,50,8,4,1240
play_greedily,4,51,8,3,1230
play_greedily,4,52,8,3,1225
play_greedily,4,53,8,3,1220
play_greedily,4,54,8,4,1210
play_greedily,4,55,8,5,1200
play_greedily,4,56,8,5,1195
play_greedily,4,57,7,5,1185
play_greedily,4,58,6,5,1175
play_greedily,4,59,5,5,1165
play_greedily,4,60,4,5,1155
play_greedily,4,61,3,5,1145
play_greedily,4,62,2,5,1135
play_greedily,4,63,2,5,1130
play_greedily,4,64,2,6,1220
play_greedily,4,65,2,6,1215
play_greedily,4,66,1,6,1255
play_greedily,4,67,0,6,1345
play_greedily,4,68,0,6,1340
play_greedily,4,69,0,5,1330
play_greedily,4,70,0,4,1370
play_greedily,4,71,0,4,1365
play_greedily,4,72,1,4,1405
play_greedily,4,73,1,4,1400
play_greedily,4,74,1,5,1440
play_greedily,4,75,1,6,1430
play_greedily,4,76,1,7,1420
play_greedily,4,77,1,8,1460
play_greedily,4,78,1,8,1455
play_greedily,4,79,2,8,1545
play_greedily,4,80,3,8,1635
play_greedily,4,81,3,8,1630
play_greedily,4,82,3,7,1620
play_greedily,4,83,3,6,1610
play_greedily,4,84,3,5,1600
play_greedily,4,85,3,4,1590
play_greedily,4,86,3,3,1630
play_greedily,4,87,3,2,1720
play_greedily,4,88,3,1,1710
play_greedily,4,89,3,0,1750
play_greedily,4,90,3,0,1745
play_greedily,4,91,4,0,1785
play_greedily,4,92,5,0,1775
play_greedily,4,93,6,0,1815
play_greedily,4,94,7,0,1805
play_greedily,4,95,8,0,1795
play_greedily,4,96,8,0,1790
play_greedily,4,97,8,0,1785
play_greedily,4,98,7,0,1775
play_greedily,4,99,6,0,1765
play_greedily,4,100,5,0,1755
play_greedily,5,0,4,4,1000
play_greedily,5,1,4,3,890
play_greedily,5,2,4,3,885
play_greedily,5,3,3,3,925
play_greedily,5,4,2,3,915
play_greedily,5,5,2,3,910
play_greedily,5,6,2,3,905
play_greedily,5,7,3,3,895
play_greedily,5,8,4,3,885
play_greedily,5,9,4,3,880
play_greedily,5,10,4,4,870
play_greedily,5,11,4,4,865
play_greedily,5,12,3,4,855
play_greedily,5,13,2,4,845
play_greedily,5,14,1,4,935
play_greedily,5,15,0,4,925
play_greedily,5,16,0,4,920
play_greedily,5,17,0,3,1010
play_greedily,5,18,0,2,1050
play_greedily,5,19,0,2,1045
play_greedily,5,20,1,2,1135
play_greedily,5,21,1,2,1130
play_greedily,5,22,1,1,1170
play_greedily,5,23,1,0,1260
play_greedily,5,24,1,0,1255
play_greedily,5,25,2,0,1295
play_greedily,5,26,2,0,1290
play_greedily,5,27,2,0,1285
play_greedily,5,28,1,0,1275
play_greedily,5,29,1,0,1270
play_greedily,5,30,1,0,1265
play_greedily,5,31,2,0,1255
play_greedily,5,32,2,0,1250
play_greedily,5,33,2,0,1245
play_greedily,5,34,1,0,1235
play_greedily,5,35,1,0,1230
play_greedily,5,36,1,0,1225
play_greedily,5,37,2,0,1215
play_greedily,5,38,2,0,1210
play_greedily,5,39,2,0,1205
play_greedily,5,40,1,0,1195
play_greedily,5,41,1,0,1190
play_greedily,5,42,1,0,1185
play_greedily,5,43,2,0,1175
play_greedily,5,44,2,0,1170
play_greedily,5,45,2,0,1165
play_greedily,5,46,1,0,1155
play_greedily,5,47,1,0,1150
play_greedily,5,48,1,0,1145
play_greedily,5,49,2,0,1135
play_greedily,5,50,2,0,1130
play_greedily,5,51,2,0,1125
play_greedily,5,52,1,0,1115
play_greedily,5,53,1,0,1110
play_greedily,5,54,1,0,1105
play_greedily,5,55,2,0,1095
play_greedily,5,56,2,0,1090
play_greedily,5,57,2,0,1085
play_greedily,5,58,1,0,1075
play_greedily,5,59,1,0,1070
play_greedily,5,60,1,0,1065
play_greedily,5,61,2,0,1055
play_greedily,5,62,2,0,1050
play_greedily,5,63,2,0,1045
play_greedily,5,64,1,0,1035
play_greedily,5,65,1,0,1030
play_greedily,5,66,1,0,1025
play_greedily,5,67,2,0,1015
play_greedily,5,68,2,0,1010
play_greedily,5,69,2,0,1005
play_greedily,5,70,1,0,995
play_greedily,5,71,1,0,990
play_greedily,5,72,1,0,985
play_greedily,5,73,2,0,975
play_greedily,5,74,2,0,970
play_greedily,5,75,2,0,965
play_greedily,5,76,1,0,955
play_greedily,5,77,1,0,950
play_greedily,5,78,1,0,945
play_greedily,5,79,2,0,935
play_greedily,5,80,2,0,930
play_greedily,5,81,2,0,925
play_greedily,5,82,1,0,915
play_greedily,5,83,1,0,910
play_greedily,5,84,1,0,905
play_greedily,5,85,2,0,895
play_greedily,5,86,2,0,890
play_greedily,5,87,2,0,885
play_greedily,5,88,1,0,875
play_greedily,5,89,1,0,870
play_greedily,5,90,1,0,865
play_greedily,5,91,2,0,855
play_greedily,5,92,2,0,850
play_greedily,5,93,2,0,845
play_greedily,5,94,1,0,835
play_greedily,5,95,1,0,830
play_greedily,5,96,1,0,825
play_greedily,5,97,2,0,815
play_greedily,5,98,2,0,810
play_greedily,5,99,2,0,805
play_greedily,5,100,1,0,795
