Treatment_Function,Replicate_Num,Step_Num,X_Location,Y_Location,Score,Last_Move,Rewards_rem
play_greedily,4,47,3,0,1020,R,18
play_greedily,4,48,3,0,1015,R,18
play_greedily,4,49,2,0,1005,F,18
play_greedily,4,50,1,0,995,F,18
play_greedily,4,51,0,0,985,F,18
play_greedily,4,52,0,0,980,R,18
play_greedily,4,53,0,0,975,R,18
play_greedily,4,54,1,0,965,F,18
play_greedily,4,55,2,0,955,F,18
play_greedily,4,56,3,0,945,F,18
play_greedily,4,57,3,0,940,R,18
play_greedily,4,58,3,0,935,R,18
play_greedily,4,59,2,0,925,F,18
play_greedily,4,60,1,0,915,F,18
play_greedily,4,61,0,0,905,F,18
play_greedily,4,62,0,0,900,R,18
play_greedily,4,63,0,0,895,R,18
play_greedily,4,64,1,0,885,F,18
play_greedily,4,65,2,0,875,F,18
play_greedily,4,66,3,0,865,F,18
play_greedily,4,67,3,0,860,R,18
play_greedily,4,68,3,0,855,R,18
play_greedily,4,69,2,0,845,F,18
play_greedily,4,70,1,0,835,F,18
play_greedily,4,71,0,0,825,F,18
play_greedily,4,72,0,0,820,R,18
play_greedily,4,73,0,0,815,R,18
play_greedily,4,74,1,0,805,F,18
play_greedily,4,75,2,0,795,F,18
play_greedily,4,76,3,0,785,F,18
play_greedily,4,77,3,0,780,R,18
play_greedily,4,78,3,0,775,R,18
play_greedily,4,79,2,0,765,F,18
play_greedily,4,80,1,0,755,F,18
play_greedily,4,81,0,0,745,F,18
play_greedily,4,82,0,0,740,R,18
play_greedily,4,83,0,0,735,R,18
play_greedily,4,84,1,0,725,F,18
play_greedily,4,85,2,0,715,F,18
play_greedily,4,86,3,0,705,F,18
play_greedily,4,87,3,0,700,R,18
play_greedily,4,88,3,0,695,R,18
play_greedily,4,89,2,0,685,F,18
play_greedily,4,90,1,0,675,F,18
play_greedily,4,91,0,0,665,F,18
play_greedily,4,92,0,0,660,R,18
play_greedily,4,93,0,0,655,R,18
play_greedily,4,94,1,0,645,F,18
play_greedily,4,95,2,0,635,F,18
play_greedily,4,96,3,0,625,F,18
play_greedily,4,97,3,0,620,R,18
play_greedily,4,98,3,0,615,R,18
play_greedily,4,99,2,0,605,F,18
play_greedily,4,100,1,0,595,F,18
play_greedily,5,1,4,4,995,R,25
play_greedily,5,2,4,4,990,R,25
play_greedily,5,3,4,5,1030,F,24
play_greedily,5,4,4,5,1025,R,24
play_greedily,5,5,3,5,1065,F,23
play_greedily,5,6,3,5,1060,L,23
play_greedily,5,7,3,6,1150,F,22
play_greedily,5,8,3,7,1140,F,22
play_greedily,5,9,3,7,1135,L,22
play_greedily,5,10,4,7,1175,F,21
play_greedily,5,11,5,7,1265,F,20
play_greedily,5,12,6,7,1255,F,20
play_greedily,5,13,6,7,1250,L,20
play_greedily,5,14,6,6,1240,F,20
play_greedily,5,15,6,6,1235,R,20
play_greedily,5,16,7,6,1275,F,19
play_greedily,5,17,7,6,1270,L,19
play_greedily,5,18,7,5,1260,F,19
play_greedily,5,19,7,5,1255,R,19
play_greedily,5,20,8,5,1345,F,18
play_greedily,5,21,8,5,1340,L,18
play_greedily,5,22,8,4,1330,F,18
play_greedily,5,23,8,3,1320,F,18
play_greedily,5,24,8,2,1310,F,18
play_greedily,5,25,8,1,1300,F,18
play_greedily,5,26,8,1,1295,R,18
play_greedily,5,27,8,1,1290,R,18
play_greedily,5,28,8,2,1280,F,18
play_greedily,5,29,8,3,1270,F,18
play_greedily,5,30,8,4,1260,F,18
play_greedily,5,31,8,5,1250,F,18
play_greedily,5,32,8,5,1245,R,18
